Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;;;
19:19:50.294449;IP;localhost;domain ; localhost;56318;;;;;;11081;2/0/1;CNAME;ds-pr-bh.ybp.gysm.yahoodns.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:50.296957;IP;localhost;domain ; localhost;56318;;;;;;13139;2/0/1;CNAME;ds-pr-bh.ybp.gysm.yahoodns.net.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:50.303219;IP;localhost;40157; localhost;domain;;;;;;10172;[1au];A?;c1.adform.net.;-42;1;;;;;;;;;;;;;;;;;;;
19:19:50.303541;IP;localhost;domain ; localhost;40157;;;;;;10172;10/0/1;CNAME;track.adformnet.akadns.net.,;CNAME;1;;;;;A;37.157.6.252,;A;37.157.4.28,;A;37.157.6.246,;A;37.157.2.237,;A;37.157.4.23,;A;37.157.6.242;-230;;
19:19:50.303580;IP;localhost;40157; localhost;domain;;;;;;20422;[1au];AAAA?;c1.adform.net.;-42;1;;;;;;;;;;;;;;;;;;;
19:19:50.309633;IP;localhost;domain ; localhost;33695;;;;;;32652;1/0/1;CNAME;dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com.;-109;1;;;;;;;;;;;;;;;;;;;
19:19:50.315164;IP;localhost;43003; localhost;domain;;;;;;54102;[1au];A?;image6.pubmatic.com.;-48;1;;;;;;;;;;;;;;;;;;;
19:19:50.315599;IP;localhost;43003; localhost;domain;;;;;;20321;[1au];AAAA?;image6.pubmatic.com.;-48;1;;;;;;;;;;;;;;;;;;;
19:19:50.323528;IP;localhost;34555; localhost;domain;;;;;;46923;[1au];A?;ap.lijit.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:50.324390;IP;localhost;34555; localhost;domain;;;;;;20309;[1au];AAAA?;ap.lijit.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:50.327733;IP;localhost;domain ; localhost;40157;;;;;;20422;2/0/1;CNAME;track.adformnet.akadns.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.335663;IP;localhost;39934; localhost;domain;;;;;;18231;[1au];A?;cm.g.doubleclick.net.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:50.335989;IP;localhost;domain ; localhost;39934;;;;;;18231;2/0/1;CNAME;pagead.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:50.336037;IP;localhost;39934; localhost;domain;;;;;;4930;[1au];AAAA?;cm.g.doubleclick.net.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:50.336459;IP;localhost;domain ; localhost;39934;;;;;;4930;1/0/1;CNAME;pagead.l.doubleclick.net.;-72;1;;;;;;;;;;;;;;;;;;;
19:19:50.339519;IP;localhost;domain ; localhost;43003;;;;;;54102;3/0/1;CNAME;pugm-lhrc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
