Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:54:53.863564;IP;localhost;53484; localhost;domain;;;;;;41325;[1au];A?;ams1-ib.adnxs.com.;-46;1
19:54:53.864005;IP;localhost;53484; localhost;domain;;;;;;14714;[1au];AAAA?;ams1-ib.adnxs.com.;-46;1
19:54:53.885225;IP;localhost;domain ; localhost;53484;;;;;;41325;8/0/1;A;185.33.221.15,;A;1
19:54:53.886466;IP;localhost;52773; localhost;domain;;;;;;10424;[1au];A?;rb.adnxs.com.;-41;1
19:54:53.886960;IP;localhost;52773; localhost;domain;;;;;;9414;[1au];AAAA?;rb.adnxs.com.;-41;1
19:54:53.889720;IP;localhost;domain ; localhost;53484;;;;;;14714;0/0/1;-46;;;1
19:54:53.907663;IP;localhost;domain ; localhost;52773;;;;;;10424;8/0/1;A;37.252.167.200,;A;1
19:54:53.909367;IP;localhost;domain ; localhost;52773;;;;;;9414;0/0/1;-41;;;1
19:54:53.931855;IP;localhost;56538; localhost;domain;;;;;;8620;[1au];A?;ow2.res.office365.com.;-50;1
19:54:53.932221;IP;localhost;56538; localhost;domain;;;;;;59830;[1au];AAAA?;ow2.res.office365.com.;-50;1
19:54:53.932663;IP;localhost;45186; localhost;domain;;;;;;24998;[1au];A?;fra1-ib.adnxs.com.;-46;1
19:54:53.932908;IP;localhost;45186; localhost;domain;;;;;;19884;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1
19:54:53.952303;IP;localhost;52982; localhost;domain;;;;;;61725;[1au];A?;outlook.live.com.;-45;1
19:54:53.952687;IP;localhost;domain ; localhost;52982;;;;;;61725;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:53.952721;IP;localhost;52982; localhost;domain;;;;;;60711;[1au];AAAA?;outlook.live.com.;-45;1
19:54:53.953011;IP;localhost;domain ; localhost;52982;;;;;;60711;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:53.953808;IP;localhost;domain ; localhost;56538;;;;;;8620;3/0/1;CNAME;ow2.res.office365.com.edgekey.net.,;CNAME;1
19:54:53.956226;IP;localhost;domain ; localhost;45186;;;;;;19884;0/0/1;-46;;;1
19:54:53.956526;IP;localhost;domain ; localhost;56538;;;;;;59830;4/0/1;CNAME;ow2.res.office365.com.edgekey.net.,;CNAME;1
19:54:53.956648;IP;localhost;domain ; localhost;45186;;;;;;24998;8/0/1;A;37.252.173.62,;A;1
19:54:53.962989;IP;localhost;44345; localhost;domain;;;;;;33061;[1au];A?;azcus1-client-s.gateway.messenger.live.com.;-71;1
19:54:53.963543;IP;localhost;44345; localhost;domain;;;;;;2353;[1au];AAAA?;azcus1-client-s.gateway.messenger.live.com.;-71;1
19:54:53.969986;IP;localhost;53719; localhost;domain;;;;;;64918;[1au];A?;outlook.live.com.;-45;1
19:54:53.970359;IP;localhost;domain ; localhost;53719;;;;;;64918;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:53.970393;IP;localhost;53719; localhost;domain;;;;;;64928;[1au];AAAA?;outlook.live.com.;-45;1
19:54:53.970762;IP;localhost;domain ; localhost;53719;;;;;;64928;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:53.985567;IP;localhost;domain ; localhost;44345;;;;;;33061;3/0/1;CNAME;azcus1-client-s.msnmessenger.msn.com.akadns.net.,;CNAME;1
19:54:53.986420;IP;localhost;38318; localhost;domain;;;;;;27098;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:54:53.986968;IP;localhost;38318; localhost;domain;;;;;;18921;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
19:54:53.987713;IP;localhost;domain ; localhost;44345;;;;;;2353;2/0/1;CNAME;azcus1-client-s.msnmessenger.msn.com.akadns.net.,;CNAME;1
19:54:54.008518;IP;localhost;domain ; localhost;38318;;;;;;27098;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:54:54.032093;IP;localhost;domain ; localhost;38318;;;;;;18921;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:54:54.063792;IP;localhost;58365; localhost;domain;;;;;;25030;[1au];A?;go.trouter.skype.com.;-49;1
19:54:54.064244;IP;localhost;58365; localhost;domain;;;;;;59857;[1au];AAAA?;go.trouter.skype.com.;-49;1
19:54:54.078031;IP;localhost;41455; localhost;domain;;;;;;22693;[1au];A?;sfnam.loki.delve.office.com.;-56;1
19:54:54.078507;IP;localhost;41455; localhost;domain;;;;;;3248;[1au];AAAA?;sfnam.loki.delve.office.com.;-56;1
19:54:54.086250;IP;localhost;domain ; localhost;58365;;;;;;25030;2/0/1;CNAME;root.skype-edf.akadns.net.,;A;1
19:54:54.100827;IP;localhost;40034; localhost;domain;;;;;;21789;[1au];A?;azcus1-client-s.gateway.messenger.live.com.;-71;1
19:54:54.101157;IP;localhost;domain ; localhost;40034;;;;;;21789;3/0/1;CNAME;azcus1-client-s.msnmessenger.msn.com.akadns.net.,;CNAME;1
19:54:54.101192;IP;localhost;40034; localhost;domain;;;;;;59688;[1au];AAAA?;azcus1-client-s.gateway.messenger.live.com.;-71;1
19:54:54.101400;IP;localhost;domain ; localhost;40034;;;;;;59688;2/0/1;CNAME;azcus1-client-s.msnmessenger.msn.com.akadns.net.,;CNAME;1
19:54:54.113793;IP;localhost;domain ; localhost;58365;;;;;;59857;1/0/1;CNAME;root.skype-edf.akadns.net.;-88;1
19:54:54.128876;IP;localhost;48769; localhost;domain;;;;;;25976;[1au];A?;outlook.live.com.;-45;1
19:54:54.129320;IP;localhost;domain ; localhost;48769;;;;;;25976;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:54.129358;IP;localhost;48769; localhost;domain;;;;;;11650;[1au];AAAA?;outlook.live.com.;-45;1
19:54:54.129628;IP;localhost;domain ; localhost;48769;;;;;;11650;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:54.145755;IP;localhost;domain ; localhost;41455;;;;;;22693;3/0/1;CNAME;fast-prod-atm-sfnam.trafficmanager.net.,;CNAME;1
19:54:54.265814;IP;localhost;domain ; localhost;41455;;;;;;3248;2/0/1;CNAME;fast-prod-atm-sfnam.trafficmanager.net.,;CNAME;1
19:54:54.326096;IP;localhost;55753; localhost;domain;;;;;;9697;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:54:54.326747;IP;localhost;55753; localhost;domain;;;;;;492;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
19:54:54.327109;IP;localhost;domain ; localhost;55753;;;;;;492;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:54:54.348938;IP;localhost;domain ; localhost;55753;;;;;;9697;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
