Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:16:29.819665;IP;localhost;49606; localhost;domain;;;;;;33912;[1au];A?;tcf.admeen.org.;-43;1
19:16:29.819905;IP;localhost;domain ; localhost;49606;;;;;;33912;2/0/1;A;104.24.16.66,;A;1
19:16:29.819945;IP;localhost;49606; localhost;domain;;;;;;64645;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:29.820068;IP;localhost;domain ; localhost;49606;;;;;;64645;0/0/1;-43;;;1
19:16:29.839124;IP;localhost;57860; localhost;domain;;;;;;25727;[1au];A?;tcf.admeen.org.;-43;1
19:16:29.839342;IP;localhost;domain ; localhost;57860;;;;;;25727;2/0/1;A;104.24.16.66,;A;1
19:16:29.839386;IP;localhost;57860; localhost;domain;;;;;;30857;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:29.839602;IP;localhost;domain ; localhost;57860;;;;;;30857;0/0/1;-43;;;1
19:16:29.857306;IP;localhost;36327; localhost;domain;;;;;;23667;[1au];A?;tcf.admeen.org.;-43;1
19:16:29.857574;IP;localhost;domain ; localhost;36327;;;;;;23667;2/0/1;A;104.24.16.66,;A;1
19:16:29.857619;IP;localhost;36327; localhost;domain;;;;;;47229;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:29.857736;IP;localhost;domain ; localhost;36327;;;;;;47229;0/0/1;-43;;;0
19:16:29.872299;IP;localhost ;; localhost;;ICMP;echo request;50472;18176;8;;;;;;0
19:16:29.872322;IP;localhost ;; localhost;;ICMP;echo reply;50472;18432;8;;;;;;0
19:16:29.905965;IP;localhost;48804; localhost;domain;;;;;;19123;[1au];A?;tcf.admeen.org.;-43;1
19:16:29.906185;IP;localhost;domain ; localhost;48804;;;;;;19123;2/0/1;A;104.24.16.66,;A;1
19:16:29.906796;IP;localhost;48804; localhost;domain;;;;;;5821;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:29.907014;IP;localhost;domain ; localhost;48804;;;;;;5821;0/0/1;-43;;;0
19:16:29.972507;IP;localhost ;; localhost;;ICMP;echo request;50472;18176;8;;;;;;0
19:16:29.972527;IP;localhost ;; localhost;;ICMP;echo reply;50472;18432;8;;;;;;0
19:16:30.072742;IP;localhost ;; localhost;;ICMP;echo request;50472;18433;9;;;;;;0
19:16:30.072762;IP;localhost ;; localhost;;ICMP;echo reply;50472;18604;9;;;;;;0
19:16:30.115523;IP;localhost;50195; localhost;domain;;;;;;26719;[1au];A?;www.google-analytics.com.;-53;1
19:16:30.115842;IP;localhost;domain ; localhost;50195;;;;;;26719;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.115901;IP;localhost;50195; localhost;domain;;;;;;14442;[1au];AAAA?;www.google-analytics.com.;-53;1
19:16:30.116054;IP;localhost;domain ; localhost;50195;;;;;;14442;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.131631;IP;localhost;50593; localhost;domain;;;;;;21569;[1au];A?;stats.g.doubleclick.net.;-52;1
19:16:30.131926;IP;localhost;domain ; localhost;50593;;;;;;21569;5/0/1;CNAME;stats.l.doubleclick.net.,;A;1
19:16:30.131971;IP;localhost;50593; localhost;domain;;;;;;49228;[1au];AAAA?;stats.g.doubleclick.net.;-52;1
19:16:30.132516;IP;localhost;domain ; localhost;50593;;;;;;49228;2/0/1;CNAME;stats.l.doubleclick.net.,;AAAA;1
19:16:30.172942;IP;localhost ;; localhost;;ICMP;echo request;50472;18433;9;;;;;;0
19:16:30.172959;IP;localhost ;; localhost;;ICMP;echo reply;50472;18604;9;;;;;;0
19:16:30.232770;IP;localhost;49968; localhost;domain;;;;;;35951;[1au];A?;www.google-analytics.com.;-53;1
19:16:30.233244;IP;localhost;domain ; localhost;49968;;;;;;35951;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.233309;IP;localhost;49968; localhost;domain;;;;;;59516;[1au];AAAA?;www.google-analytics.com.;-53;1
19:16:30.233517;IP;localhost;domain ; localhost;49968;;;;;;59516;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.238989;IP;localhost;33165; localhost;domain;;;;;;43545;[1au];A?;stats.g.doubleclick.net.;-52;1
19:16:30.239463;IP;localhost;domain ; localhost;33165;;;;;;43545;5/0/1;CNAME;stats.l.doubleclick.net.,;A;1
19:16:30.239522;IP;localhost;33165; localhost;domain;;;;;;40487;[1au];AAAA?;stats.g.doubleclick.net.;-52;1
19:16:30.239817;IP;localhost;domain ; localhost;33165;;;;;;40487;2/0/1;CNAME;stats.l.doubleclick.net.,;AAAA;1
19:16:30.244035;IP;localhost;57234; localhost;domain;;;;;;49200;[1au];A?;www.google-analytics.com.;-53;1
19:16:30.244391;IP;localhost;domain ; localhost;57234;;;;;;49200;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.244440;IP;localhost;57234; localhost;domain;;;;;;42047;[1au];AAAA?;www.google-analytics.com.;-53;1
19:16:30.244743;IP;localhost;domain ; localhost;57234;;;;;;42047;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.270399;IP;localhost;44316; localhost;domain;;;;;;3787;[1au];A?;www.google-analytics.com.;-53;1
19:16:30.270851;IP;localhost;domain ; localhost;44316;;;;;;3787;2/0/1;CNAME;www-google-analytics.l.google.com.,;A;1
19:16:30.271325;IP;localhost;44316; localhost;domain;;;;;;13017;[1au];AAAA?;www.google-analytics.com.;-53;1
19:16:30.271632;IP;localhost;domain ; localhost;44316;;;;;;13017;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.273788;IP;localhost ;; localhost;;ICMP;echo request;50472;18944;8;;;;;;0
19:16:30.273803;IP;localhost ;; localhost;;ICMP;echo reply;50472;18944;8;;;;;;0
19:16:30.327068;IP;localhost;41703; localhost;domain;;;;;;2065;[1au];A?;www.google-analytics.com.;-53;1
19:16:30.327467;IP;localhost;domain ; localhost;41703;;;;;;2065;2/0/1;CNAME;www-google-analytics.l.google.com.,;A;1
19:16:30.327515;IP;localhost;41703; localhost;domain;;;;;;28701;[1au];AAAA?;www.google-analytics.com.;-53;1
19:16:30.327675;IP;localhost;domain ; localhost;41703;;;;;;28701;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.370455;IP;localhost;34956; localhost;domain;;;;;;30237;[1au];A?;www.google-analytics.com.;-53;1
19:16:30.370884;IP;localhost;domain ; localhost;34956;;;;;;30237;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.370942;IP;localhost;34956; localhost;domain;;;;;;55848;[1au];AAAA?;www.google-analytics.com.;-53;1
19:16:30.371198;IP;localhost;domain ; localhost;34956;;;;;;55848;2/0/1;CNAME;www-google-analytics.l.google.com.,;;1
19:16:30.374301;IP;localhost ;; localhost;;ICMP;echo request;50472;19200;8;;;;;;0
19:16:30.374321;IP;localhost ;; localhost;;ICMP;echo reply;50472;19456;8;;;;;;0
19:16:30.475037;IP;localhost ;; localhost;;ICMP;echo request;50472;19456;8;;;;;;0
19:16:30.475060;IP;localhost ;; localhost;;ICMP;echo reply;50472;19712;8;;;;;;0
19:16:30.575186;IP;localhost ;; localhost;;ICMP;echo request;50472;19712;8;;;;;;0
19:16:30.575201;IP;localhost ;; localhost;;ICMP;echo reply;50472;19712;8;;;;;;0
19:16:30.667769;IP;localhost;50003; localhost;domain;;;;;;46669;[1au];A?;static.h-bid.com.;-45;1
19:16:30.668490;IP;localhost;50003; localhost;domain;;;;;;21084;[1au];AAAA?;static.h-bid.com.;-45;1
19:16:30.669723;IP;localhost;33682; localhost;domain;;;;;;49722;[1au];A?;static.h-bid.com.;-45;1
19:16:30.675893;IP;localhost ;; localhost;;ICMP;echo request;50472;19968;8;;;;;;0
19:16:30.675908;IP;localhost ;; localhost;;ICMP;echo reply;50472;19968;8;;;;;;0
19:16:30.689829;IP;localhost;domain ; localhost;50003;;;;;;46669;2/0/1;CNAME;429520581.r.cdnsun.net.,;A;1
19:16:30.689888;IP;localhost;domain ; localhost;33682;;;;;;49722;2/0/1;CNAME;429520581.r.cdnsun.net.,;A;1
19:16:30.776131;IP;localhost ;; localhost;;ICMP;echo request;50472;20224;8;;;;;;0
19:16:30.776144;IP;localhost ;; localhost;;ICMP;echo reply;50472;20480;8;;;;;;0
19:16:30.876274;IP;localhost ;; localhost;;ICMP;echo request;50472;20480;8;;;;;;0
19:16:30.876289;IP;localhost ;; localhost;;ICMP;echo reply;50472;20736;8;;;;;;0
19:16:30.977047;IP;localhost ;; localhost;;ICMP;echo request;50472;20736;8;;;;;;0
19:16:30.977065;IP;localhost ;; localhost;;ICMP;echo reply;50472;20992;8;;;;;;0
19:16:31.077657;IP;localhost ;; localhost;;ICMP;echo request;50472;20992;8;;;;;;0
19:16:31.077672;IP;localhost ;; localhost;;ICMP;echo reply;50472;21248;8;;;;;;0
19:16:31.177885;IP;localhost ;; localhost;;ICMP;echo request;50472;21248;8;;;;;;0
19:16:31.177900;IP;localhost ;; localhost;;ICMP;echo reply;50472;21248;8;;;;;;0
19:16:31.202286;IP;localhost;domain ; localhost;;;;;21084;;;1/0/1;CNAME;429520581.r.cdnsun.net.;-81;1
19:16:31.278061;IP;localhost ;; localhost;;ICMP;echo request;50472;21504;8;;;;;;0
19:16:31.278077;IP;localhost ;; localhost;;ICMP;echo reply;50472;20224;8;;;;;;0
19:16:31.354162;IP;localhost;53519; localhost;domain;;;;;;2414;[1au];A?;cdn.tubia.com.;-42;1
19:16:31.354595;IP;localhost;53519; localhost;domain;;;;;;13688;[1au];AAAA?;cdn.tubia.com.;-42;1
19:16:31.375844;IP;localhost;domain ; localhost;53519;;;;;;2414;4/0/1;CNAME;di-j6a123de.leasewebultracdn.com.,;CN;1
19:16:31.376491;IP;localhost;54497; localhost;domain;;;;;;36272;[1au];A?;js.honeybadger.io.;-46;1
19:16:31.376798;IP;localhost;54497; localhost;domain;;;;;;441;[1au];AAAA?;js.honeybadger.io.;-46;1
19:16:31.377434;IP;localhost;domain ; localhost;53519;;;;;;13688;2/0/1;CNAME;di-j6a123de.leasewebultracdn.com.,;C;1
19:16:31.378253;IP;localhost ;; localhost;;ICMP;echo request;50472;21760;8;;;;;;0
19:16:31.378265;IP;localhost ;; localhost;;ICMP;echo reply;50472;21760;8;;;;;;0
19:16:31.398609;IP;localhost;domain ; localhost;54497;;;;;;441;0/0/1;-46;;;0
19:16:31.417595;IP;localhost;domain ; localhost;54497;;;;;;36272;4/0/1;A;143.204.222.109,;A;0
19:16:31.478466;IP;localhost ;; localhost;;ICMP;echo request;50472;22016;8;;;;;;0
19:16:31.478481;IP;localhost ;; localhost;;ICMP;echo reply;50472;22272;8;;;;;;0
19:16:31.578755;IP;localhost ;; localhost;;ICMP;echo request;50472;22272;8;;;;;;0
19:16:31.578771;IP;localhost ;; localhost;;ICMP;echo reply;50472;;8;;;;;;0
19:16:31.628611;IP;localhost;50989; localhost;domain;;;;;;22985;[1au];A?;www.facebook.com.;-45;0
19:16:31.629053;IP;localhost;50989; localhost;domain;;;;;;1492;[1au];AAAA?;www.facebook.com.;-45;0
19:16:31.651125;IP;localhost;domain ; localhost;50989;;;;;;22985;2/0/1;CNAME;star-mini.c10r.facebook.com.,;A;0
19:16:31.653076;IP;localhost;domain ; localhost;50989;;;;;;1492;2/0/1;CNAME;star-mini.c10r.facebook.com.,;AAAA;0
19:16:31.678904;IP;localhost ;; localhost;;ICMP;echo request;50472;22528;8;;;;;;0
19:16:31.678918;IP;localhost ;; localhost;;ICMP;echo reply;50472;22784;8;;;;;;0
19:16:31.779117;IP;localhost ;; localhost;;ICMP;echo request;50472;22784;8;;;;;;0
19:16:31.779131;IP;localhost ;; localhost;;ICMP;echo reply;50472;23040;8;;;;;;0
19:16:31.879350;IP;localhost ;; localhost;;ICMP;echo request;50472;23040;8;;;;;;0
19:16:31.879365;IP;localhost ;; localhost;;ICMP;echo reply;50472;23296;8;;;;;;0
19:16:31.980062;IP;localhost ;; localhost;;ICMP;echo request;50472;23296;8;;;;;;0
19:16:31.980077;IP;localhost ;; localhost;;ICMP;echo reply;50472;23552;8;;;;;;0
19:16:32.080705;IP;localhost ;; localhost;;ICMP;echo request;50472;23552;8;;;;;;0
19:16:32.080722;IP;localhost ;; localhost;;ICMP;echo reply;50472;23552;8;;;;;;0
19:16:32.142721;IP;localhost;41431; localhost;domain;;;;;;5672;[1au];A?;imasdk.googleapis.com.;-50;0
19:16:32.142995;IP;localhost;domain ; localhost;41431;;;;;;5672;1/0/1;A;172.217.18.202;-66;0
19:16:32.143127;IP;localhost;41431; localhost;domain;;;;;;45618;[1au];AAAA?;imasdk.googleapis.com.;-50;0
19:16:32.144046;IP;localhost;55114; localhost;domain;;;;;;32507;[1au];A?;imasdk.googleapis.com.;-50;0
19:16:32.144234;IP;localhost;domain ; localhost;55114;;;;;;32507;1/0/1;A;172.217.18.202;-66;0
