Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
19:48:43.947421;IP;localhost;59404; localhost;domain;;;;;;46466;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:43.947713;IP;localhost;domain ; localhost;59404;;;;;;46466;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.198924;IP;localhost;51345; localhost;domain;;;;;;11245;[1au];A?;azcus1-client-s.gateway.messenger.live.com.;-71;1;;;;;;;;;;;;;;
19:48:44.199819;IP;localhost;51345; localhost;domain;;;;;;14329;[1au];AAAA?;azcus1-client-s.gateway.messenger.live.com.;-71;1;;;;;;;;;;;;;;
19:48:44.210343;IP;localhost;39542; localhost;domain;;;;;;36749;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:44.210693;IP;localhost;domain ; localhost;39542;;;;;;36749;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.210732;IP;localhost;39542; localhost;domain;;;;;;63383;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:44.210919;IP;localhost;domain ; localhost;39542;;;;;;63383;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.227829;IP;localhost;domain ; localhost;51345;;;;;;11245;3/0/1;CNAME;azcus1-client-s.msnmessenger.msn.com.akadns.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.252568;IP;localhost;domain ; localhost;51345;;;;;;14329;2/0/1;CNAME;azcus1-client-s.msnmessenger.msn.com.akadns.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.407337;IP;localhost;45711; localhost;domain;;;;;;43659;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:44.407655;IP;localhost;domain ; localhost;45711;;;;;;43659;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.407691;IP;localhost;45711; localhost;domain;;;;;;28310;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:44.407888;IP;localhost;domain ; localhost;45711;;;;;;28310;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.414554;IP;localhost;35283; localhost;domain;;;;;;47657;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:44.414910;IP;localhost;domain ; localhost;35283;;;;;;47657;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.414969;IP;localhost;35283; localhost;domain;;;;;;3636;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:44.415268;IP;localhost;domain ; localhost;35283;;;;;;3636;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:44.626309;IP;localhost;33056; localhost;domain;;;;;;22594;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:44.626510;IP;localhost;domain ; localhost;33056;;;;;;22594;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:44.626546;IP;localhost;33056; localhost;domain;;;;;;9292;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:44.626715;IP;localhost;domain ; localhost;33056;;;;;;9292;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:44.682070;IP;localhost;54420; localhost;domain;;;;;;10666;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
