Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
15:42:00.794827;IP;localhost;domain;localhost;39568;;;;;;1766;2/0/1;CNAME;photos-ugc.l.googleusercontent.com.,;AAAA;1
15:42:00.813378;IP;localhost;domain;localhost;60288;;;;;;27288;1/0/1;CNAME;tutorialsweb.com.;-63;1
15:42:01.477210;IP;localhost;42489;localhost;domain;;;;;;44595;[1au];A?;www.youtube.com.;-44;1
15:42:01.477631;IP;localhost;domain;localhost;42489;;;;;;44595;11/0/1;CNAME;youtube-ui.l.google.com.,;A;1
15:42:01.477817;IP;localhost;42489;localhost;domain;;;;;;57921;[1au];AAAA?;www.youtube.com.;-44;1
15:42:01.478144;IP;localhost;domain;localhost;42489;;;;;;57921;2/0/1;CNAME;youtube-ui.l.google.com.,;AAAA;1
15:42:01.682634;IP;localhost;39847;localhost;domain;;;;;;18217;[1au];A?;r5---sn-25glen7l.googlevideo.com.;-61;1
15:42:01.683387;IP;localhost;39847;localhost;domain;;;;;;2868;[1au];AAAA?;r5---sn-25glen7l.googlevideo.com.;-61;1
15:42:01.704190;IP;localhost;domain;localhost;39847;;;;;;18217;2/0/1;CNAME;r5.sn-25glen7l.googlevideo.com.,;A;1
15:42:01.704407;IP;localhost;domain;localhost;39847;;;;;;2868;2/0/1;CNAME;r5.sn-25glen7l.googlevideo.com.,;AAAA;1
15:42:07.434347;IP;localhost;41322;localhost;domain;;;;;;12292;[1au];A?;ams1-ib.adnxs.com.;-46;1
15:42:07.434963;IP;localhost;41322;localhost;domain;;;;;;36880;[1au];AAAA?;ams1-ib.adnxs.com.;-46;1
15:42:07.453471;IP;localhost;33412;localhost;domain;;;;;;50804;[1au];A?;m.adnxs.com.;-40;1
15:42:07.453974;IP;localhost;33412;localhost;domain;;;;;;15999;[1au];AAAA?;m.adnxs.com.;-40;1
15:42:07.457415;IP;localhost;domain;localhost;41322;;;;;;12292;8/0/1;A;185.33.221.53,;A;1
15:42:07.459239;IP;localhost;domain;localhost;41322;;;;;;36880;0/0/1;-46;;;1
15:42:07.475379;IP;localhost;domain;localhost;33412;;;;;;50804;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:42:07.475714;IP;localhost;domain;localhost;33412;;;;;;15999;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:42:08.731588;IP;localhost;60771;localhost;domain;;;;;;37700;[1au];A?;m.adnxs.com.;-40;1
15:42:08.731934;IP;localhost;domain;localhost;60771;;;;;;37700;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:42:08.732018;IP;localhost;60771;localhost;domain;;;;;;58190;[1au];AAAA?;m.adnxs.com.;-40;1
15:42:08.732338;IP;localhost;domain;localhost;60771;;;;;;58190;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:42:12.013085;IP;localhost;42665;localhost;domain;;;;;;1189;[1au];A?;sb.scorecardresearch.com.;-53;1
15:42:12.013656;IP;localhost;42665;localhost;domain;;;;;;41135;[1au];AAAA?;sb.scorecardresearch.com.;-53;1
15:42:12.013881;IP;localhost;domain;localhost;42665;;;;;;41135;2/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1
15:42:12.026333;IP;localhost;59451;localhost;domain;;;;;;8207;[1au];A?;acdn.adnxs.com.;-43;1
15:42:12.026856;IP;localhost;59451;localhost;domain;;;;;;21528;[1au];AAAA?;acdn.adnxs.com.;-43;1
15:42:12.034408;IP;localhost;domain;localhost;42665;;;;;;1189;3/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1
15:42:12.042193;IP;localhost;48132;localhost;domain;;;;;;2158;[1au];A?;ams1-ib.adnxs.com.;-46;1
15:42:12.042521;IP;localhost;domain;localhost;48132;;;;;;2158;8/0/1;A;185.33.221.90,;A;1
15:42:12.042570;IP;localhost;48132;localhost;domain;;;;;;23675;[1au];AAAA?;ams1-ib.adnxs.com.;-46;1
15:42:12.042697;IP;localhost;domain;localhost;48132;;;;;;23675;0/0/1;-46;;;1
15:42:12.049325;IP;localhost;domain;localhost;59451;;;;;;21528;2/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1
15:42:12.049929;IP;localhost;domain;localhost;59451;;;;;;8207;3/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1
15:42:12.161085;IP;localhost;52457;localhost;domain;;;;;;27783;[1au];A?;ams1-ib.adnxs.com.;-46;1
15:42:12.161373;IP;localhost;domain;localhost;52457;;;;;;27783;8/0/1;A;185.33.221.90,;A;1
15:42:12.161415;IP;localhost;52457;localhost;domain;;;;;;56465;[1au];AAAA?;ams1-ib.adnxs.com.;-46;1
15:42:12.161514;IP;localhost;domain;localhost;52457;;;;;;56465;0/0/1;-46;;;1
