Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;6693;6678;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;6693;6678;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;42525;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;42525;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;6934;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;6934;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;7190;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;7190;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;42781;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;42781;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;7446;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;7446;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;43037;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;43037;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;7702;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;7702;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;43293;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;43293;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;7958;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;7958;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;43549;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;43549;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;6693;8214;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;6693;8214;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;43805;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo reply;61476;43805;8;;;;;;0;;;;;;;;;;;;;;
18:36:21;IP;localhost;;localhost;;ICMP;echo request;61476;44061;8;;;;;;0;;;;;;;;;;;;;;
